iter	Passed	Remaining
0	1	149
1	3	193
2	5	163
3	6	145
4	6	132
5	7	123
6	8	116
7	9	110
8	10	104
9	10	98
10	11	94
11	12	90
12	13	87
13	13	85
14	14	82
15	15	81
16	18	89
17	19	87
18	19	85
19	20	82
20	21	80
21	21	77
22	22	75
23	23	74
24	24	72
25	24	70
26	25	69
27	26	68
28	27	66
29	27	64
30	28	62
31	28	61
32	29	59
33	30	58
34	32	60
35	33	59
36	34	59
37	35	58
38	36	56
39	37	55
40	37	54
41	38	53
42	39	51
43	39	50
44	40	49
45	40	47
46	41	46
47	41	45
48	42	44
49	43	43
50	43	42
51	44	40
52	45	40
53	47	40
54	48	39
55	49	38
56	50	37
57	51	36
58	51	35
59	52	34
60	53	33
61	53	32
62	54	31
63	54	30
64	55	29
65	56	28
66	56	27
67	57	26
68	57	25
69	58	25
70	59	24
71	59	23
72	60	22
73	62	21
74	63	21
75	64	20
76	65	19
77	65	18
78	66	17
79	66	16
80	67	15
81	67	14
82	68	14
83	69	13
84	69	12
85	70	11
86	70	10
87	71	9
88	72	8
89	72	8
90	73	7
91	73	6
92	74	5
93	75	4
94	77	4
95	78	3
96	79	2
97	79	1
98	80	0
99	81	0
