iter	Passed	Remaining
0	1	1770
1	4	2118
2	5	1947
3	6	1736
4	8	1653
5	9	1582
6	10	1478
7	11	1399
8	12	1334
9	12	1279
10	15	1386
11	17	1419
12	19	1450
13	20	1450
14	21	1400
15	22	1373
16	24	1398
17	25	1377
18	25	1340
19	26	1301
20	27	1284
21	28	1252
22	29	1250
23	30	1254
24	33	1303
25	34	1298
26	35	1283
27	36	1273
28	37	1257
29	38	1252
30	39	1244
31	41	1242
32	42	1233
33	43	1222
34	44	1217
35	45	1213
36	46	1221
37	50	1270
38	51	1259
39	52	1249
40	52	1238
41	53	1228
42	54	1223
43	56	1219
44	57	1218
45	58	1220
46	60	1227
47	62	1240
48	64	1244
49	65	1236
50	66	1229
51	67	1224
52	68	1219
53	69	1212
54	70	1205
55	71	1198
56	71	1187
57	72	1177
58	73	1173
59	74	1172
60	76	1180
61	77	1179
62	78	1172
63	79	1166
64	80	1161
65	82	1160
66	83	1157
67	84	1153
68	85	1148
69	85	1141
70	86	1135
71	88	1136
72	90	1148
73	92	1163
74	94	1162
75	95	1159
76	96	1155
77	97	1150
78	98	1151
79	99	1148
80	100	1142
81	101	1136
82	101	1125
83	102	1121
84	104	1120
85	105	1124
86	107	1126
87	108	1121
88	109	1117
89	110	1112
90	111	1109
91	112	1108
92	113	1106
93	114	1101
94	114	1094
95	115	1088
96	116	1081
97	116	1075
98	118	1074
99	119	1074
100	121	1080
101	122	1077
102	123	1074
103	124	1069
104	124	1065
105	125	1062
106	126	1059
107	127	1054
108	128	1049
109	129	1044
110	129	1039
111	130	1033
112	131	1028
113	131	1023
114	132	1022
115	134	1022
116	135	1024
117	136	1023
118	137	1018
119	138	1015
120	139	1012
121	140	1007
122	140	1003
123	141	998
124	142	994
125	142	989
126	143	984
127	143	979
128	144	975
129	145	971
130	145	967
131	146	963
132	147	962
133	148	961
134	150	966
135	151	963
136	152	960
137	153	957
138	154	957
139	155	957
140	156	953
141	157	949
142	157	945
143	158	942
144	159	939
145	160	936
146	160	932
147	161	929
148	162	928
149	163	929
150	165	932
151	166	930
152	167	928
153	168	924
154	169	922
155	170	921
156	171	921
157	172	918
158	173	915
159	173	911
160	174	907
161	174	904
162	175	900
163	176	897
164	177	897
165	178	896
166	180	900
167	181	898
168	182	895
169	183	893
170	183	891
171	184	889
172	185	889
173	186	886
174	187	884
175	188	880
176	188	878
177	189	875
178	190	872
179	190	869
180	192	869
181	193	868
182	195	872
183	196	872
184	197	870
185	198	868
186	199	866
187	200	864
188	200	861
189	201	859
190	202	856
191	202	853
192	203	850
193	204	848
194	204	845
195	205	843
196	206	842
197	207	841
198	209	844
199	210	843
200	211	841
201	212	839
202	213	838
203	214	837
204	215	836
205	216	834
206	217	832
207	217	829
208	218	826
209	219	824
210	219	822
211	220	819
212	221	819
213	222	818
214	224	818
215	226	820
216	227	819
217	227	817
218	228	815
219	229	814
220	230	812
221	231	811
222	232	809
223	232	806
224	233	804
225	234	801
226	234	799
227	235	797
228	236	796
229	237	796
230	239	797
231	241	798
232	241	796
233	242	794
234	243	793
235	244	790
236	244	788
237	245	786
238	246	783
239	246	781
240	247	779
241	248	777
242	248	775
243	249	772
244	250	770
245	250	768
246	252	768
247	253	768
248	254	769
249	255	767
250	256	765
251	257	764
252	258	762
253	259	762
254	260	760
255	261	759
256	261	756
257	262	754
258	263	752
259	263	750
260	264	748
261	265	746
262	265	744
263	267	745
264	269	746
265	270	746
266	271	745
267	272	744
268	273	742
269	274	741
270	275	740
271	276	739
272	276	737
273	277	735
274	278	733
275	278	731
276	279	729
277	280	727
278	282	729
279	283	729
280	285	730
281	286	728
282	287	727
283	287	725
284	288	723
285	289	721
286	289	720
287	290	718
288	291	716
289	291	714
290	292	712
291	293	711
292	293	709
293	294	707
294	295	705
295	296	705
296	297	704
297	299	705
298	300	704
299	301	702
300	301	701
301	302	699
302	303	698
303	304	697
304	305	696
305	306	694
306	307	693
307	307	691
308	308	689
309	309	687
310	309	686
311	310	684
312	311	683
313	312	683
314	314	684
315	315	683
316	316	682
317	317	680
318	318	679
319	319	678
320	320	677
321	321	676
322	321	674
323	322	672
324	323	671
325	323	669
326	324	667
327	325	666
328	327	667
329	329	668
330	331	669
331	332	668
332	332	666
333	333	665
334	334	663
335	335	662
336	335	660
337	336	658
338	337	657
339	337	655
340	338	653
341	338	651
342	339	650
343	339	648
344	340	646
345	341	645
346	343	645
347	345	646
348	346	645
349	346	644
350	347	642
351	348	641
352	349	640
353	350	640
354	351	639
355	352	637
356	353	636
357	353	634
358	354	633
359	355	632
360	357	633
361	359	633
362	360	633
363	362	632
364	363	631
365	364	630
366	365	629
367	366	628
368	367	627
369	367	626
370	368	624
371	369	623
372	370	621
373	371	621
374	372	620
375	374	621
376	375	619
377	376	619
378	377	617
379	377	616
380	379	616
381	380	615
382	381	614
383	381	612
384	382	610
385	383	609
386	383	607
387	384	606
388	385	605
389	386	605
390	389	605
391	390	604
392	391	604
393	391	602
394	392	601
395	393	600
396	395	600
397	396	599
398	397	598
399	397	596
400	398	595
401	399	594
402	400	593
403	402	594
404	404	594
405	405	593
406	406	592
407	407	590
408	408	589
409	408	588
410	409	587
411	410	585
412	411	584
413	411	582
414	412	581
415	413	580
416	413	578
417	414	577
418	415	576
419	417	576
420	419	576
421	419	575
422	420	574
423	421	572
424	423	572
425	424	571
426	425	570
427	425	569
428	426	567
429	427	566
430	428	565
431	429	564
432	430	563
433	431	562
434	433	562
435	434	562
436	435	561
437	436	559
438	437	558
439	438	558
440	439	557
441	440	555
442	441	554
443	441	553
444	442	551
445	443	550
446	443	548
447	444	547
448	445	547
449	447	546
450	448	546
451	449	545
452	450	543
453	451	542
454	452	541
455	452	540
456	453	538
457	454	537
458	454	535
459	455	534
460	456	533
461	456	531
462	457	530
463	458	529
464	458	527
465	460	527
466	461	526
467	462	525
468	463	524
469	464	523
470	464	521
471	465	520
472	466	519
473	466	518
474	467	516
475	468	515
476	468	514
477	469	512
478	470	511
479	470	510
480	471	508
481	472	507
482	473	506
483	474	505
484	475	505
485	477	504
486	478	504
487	479	502
488	480	502
489	481	501
490	482	499
491	482	498
492	483	497
493	484	495
494	484	494
495	485	493
496	486	492
497	487	490
498	487	489
499	488	488
500	489	487
501	490	486
502	491	486
503	492	484
504	493	483
505	493	482
506	494	480
507	495	479
508	496	478
509	496	477
510	497	476
511	498	474
512	499	473
513	499	472
514	500	471
515	501	469
516	501	468
517	502	467
518	503	466
519	503	464
520	504	464
521	506	463
522	506	462
523	507	461
524	508	459
525	509	458
526	509	457
527	510	456
528	511	455
529	512	454
530	512	452
531	513	451
532	514	450
533	514	449
534	515	447
535	516	446
536	516	445
537	517	444
538	517	443
539	518	441
540	519	440
541	520	439
542	521	438
543	522	437
544	523	436
545	523	435
546	524	434
547	525	433
548	525	432
549	526	430
550	527	429
551	527	428
552	528	427
553	529	426
554	529	424
555	530	423
556	531	422
557	531	421
558	532	420
559	533	419
560	534	417
561	534	416
562	536	416
563	536	415
564	537	413
565	538	412
566	538	411
567	539	410
568	540	409
569	541	408
570	541	407
571	542	406
572	543	404
573	544	403
574	544	402
575	545	401
576	546	400
577	546	399
